CustomerKey,Age,Gender,EnglishEducation,EnglishOccupation,HouseOwner,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,Region,StateProvinceName,City,PostalCode,TotalChildren,YearlyIncome,BikeBuyer,IncomeCategory,ManagerialSegment
11000,44,Man,Bachelors,Professional,Owner,Married,0,0,Pacific,Queensland,Rockhampton,4700,2,90000,Yes,High,Win-back
11001,40,Man,Bachelors,Professional,Tenant,Single,1,3,Pacific,Victoria,Seaford,3198,3,60000,Yes,Moderate,Best
11002,45,Man,Bachelors,Professional,Owner,Married,1,3,Pacific,Tasmania,Hobart,7001,3,60000,Yes,Moderate,Win-back
11003,42,Woman,Bachelors,Professional,Tenant,Single,1,0,Pacific,New South Wales,North Ryde,2113,0,70000,Yes,Unknown,Win-back
11004,36,Woman,Bachelors,Professional,Owner,Single,4,5,Pacific,New South Wales,Wollongong,2500,5,80000,Yes,High,Win-back
11005,39,Man,Bachelors,Professional,Owner,Single,1,0,Pacific,Queensland,East Brisbane,4169,0,70000,Yes,Unknown,Win-back
11006,39,Woman,Bachelors,Professional,Owner,Single,1,0,Pacific,New South Wales,Matraville,2036,0,70000,Yes,Unknown,Win-back
11007,46,Man,Bachelors,Professional,Owner,Married,2,3,Pacific,Victoria,Warrnambool,3280,3,60000,Yes,Moderate,Win-back
11008,40,Woman,Bachelors,Professional,Owner,Single,3,4,Pacific,Victoria,Bendigo,3550,4,60000,Yes,Moderate,Win-back
11009,46,Man,Bachelors,Professional,Tenant,Single,1,0,Pacific,Queensland,Hervey Bay,4655,0,70000,Yes,Unknown,Win-back
11010,46,Woman,Bachelors,Professional,Tenant,Single,1,0,Pacific,Queensland,East Brisbane,4169,0,70000,Yes,Unknown,Win-back
11011,47,Man,Bachelors,Professional,Owner,Married,4,4,Pacific,Queensland,East Brisbane,4169,4,60000,Yes,Moderate,Win-back
11012,37,Woman,Bachelors,Management,Owner,Married,2,0,North America,Washington,Bremerton,98312,2,100000,No,High,Warm High Value
11013,36,Man,Bachelors,Management,Owner,Married,3,0,North America,Oregon,Lebanon,97355,2,100000,No,High,Active
11014,42,Woman,Bachelors,Management,Tenant,Single,3,0,North America,Washington,Redmond,98052,3,100000,No,High,Almost Lost
11015,31,Woman,Partial College,Skilled Manual,Tenant,Single,1,0,North America,California,Burbank,91502,0,30000,Yes,Low,Almost Lost
11016,31,Man,Partial College,Skilled Manual,Owner,Married,1,0,North America,California,Imperial Beach,91932,0,30000,Yes,Low,Almost Lost
11017,66,Woman,High School,Skilled Manual,Owner,Single,2,0,Pacific,Victoria,Sunbury,3429,4,20000,Yes,Low,Warm High Value
11018,60,Man,Partial College,Clerical,Owner,Single,2,0,Pacific,Victoria,Bendigo,3550,2,30000,Yes,Low,Warm High Value
11019,32,Man,High School,Skilled Manual,Tenant,Single,2,0,North America,British Columbia,Langley,V3A 4R2,0,40000,No,Moderate,Active High Value
11020,32,Man,High School,Skilled Manual,Tenant,Single,2,0,North America,British Columbia,Metchosin,V9,0,40000,Yes,Moderate,Almost Lost
