CustomerKey,EnglishEducation,Gender,HouseOwner,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,Region,YearlyIncome,Income category,ManagerialSegment
16925,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
27526,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
17506,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
29056,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27467,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
20457,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19670,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
24313,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
20440,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
26582,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
29112,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
16503,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19758,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
20411,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
25046,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
14024,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
29126,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
26557,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
26584,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
29060,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
27509,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
11036,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19778,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
18454,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
27525,Partial College,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
22163,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
23357,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
14284,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
20438,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
13070,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
24297,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
25954,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
18477,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
22191,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
28130,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
17519,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
29108,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
29079,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
23080,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
16670,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
23110,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28097,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
